ScopusJournalName,COBJournal
Journal of Information Systems,Journal of Information Systems
Computers and Security,Computers & Security
MIS Quarterly: Management Information Systems,MIS Quarterly
Computers in Human Behavior,Computers in Human Behavior
Communications of the ACM,Communications of the ACM
Journal of Applied Social Psychology,Journal of Applied Social Psychology
European Journal of Operational Research,European Journal of Operations Research
Applied Soft Computing,Applied Soft Computing
Applied Soft Computing Journal,Applied Soft Computing
Computers and Industrial Engineering,Computers and Industrial engineering
Expert Systems with Applications,Expert Systems with Applications
Journal of Business Logistics,Journal of Business Logistics
Transportation Research Part E: Logistics and Transportation Review,Transportation Research Part E: Logistics and Transportation Review
International Journal of Production Economics,International Journal of Production Economics
International Journal of Production Research,International Journal of Production Research
Journal of Information Systems Education,Journal of Information Systems Education
Communications of the Association for Information Systems,Communications of the Association for Information Systems
Neural Computing and Applications,Neural Computing and Applications
European Journal of Social Psychology,European Journal of Social Psychology
Asia Pacific Journal of Marketing and Logistics,Asia Pacific Journal of Marketing & Logistics
Journal of Computer Information Systems,Journal of Computer Information Systems
European Journal of Information Systems,European Journal of Information Systems
Information Resources Management Journal,Information Resources Management Journal
Journal of Organizational Computing and Electronic Commerce,Journal of Organizational Computing and Electronic Commerce
International Journal of Information Management,International Journal of Information Management
Decision Sciences,Decision Sciences
Accounting and Finance,Accounting and Finance
Review of Quantitative Finance and Accounting,Review of Quantitative Finance and Accounting
Journal of Banking and Finance,Journal of Banking & Finance
Journal of Economics and Finance,Journal of Economics & Finance
Financial Review,Financial Review
Quarterly Review of Economics and Finance,Quarterly Review of Economics and Finance
"Financial Markets, Institutions and Instruments","Financial Markets, Institutions & Instruments"
International Journal of Finance and Economics,International Journal of Finance & Economics
Review of Accounting Studies,Review of Accounting Studies
Review of Asset Pricing Studies,Review of Asset Pricing Studies 
Journal of Financial and Quantitative Analysis,Journal of Financial and Quantitative Analysis
Journal of Financial Markets,Journal of Financial Markets
Management Science,Management Science
"Journal of International Financial Markets, Institutions and Money","Journal of International Financial Markets, Institutions & Money"
Journal of Financial Research,Journal of Financial Research
Financial Management,Financial Management
Journal of Futures Markets,Journal of Futures Markets
Journal of Applied Psychology,Journal of Applied Psychology
Journal of Behavioral Finance,Journal of Behavioral Finance
Journal of Investing,Journal of Investing
Sport Management Education Journal,Sport Management Education Journal
Journal of Business Finance and Accounting,Journal of Business Finance and Accounting
Journal of Sports Economics,Journal of Sports Economics
Applied Financial Economics,Applied Financial Economics
Financial Analysts Journal,Financial Analysts Journal
Journal of Portfolio Management,Journal of Portfolio Management
Financial Markets and Portfolio Management,Financial Markets and Portfolio Management
Journal of Financial Economics,Journal of Financial Economics
Journal of Finance,Journal of Finance
Journal of Accounting and Economics,Journal of Accounting & Economics
Journal of Real Estate Research,Journal of Real Estate Research
International Review of Financial Analysis,International Review of Financial Analysis
International Journal of Auditing,International Journal of Auditing
Accounting Research Journal,Accounting Research Journal
Journal of Accounting and Public Policy,Journal of Accounting & Public Policy
"Journal of Accounting, Auditing and Finance","Journal of Accounting, Auditing and Finance"
Issues in Accounting Education,Issues in Accounting Education
Journal of Management Accounting Research,Journal of Management Accounting Research
Accounting Horizons,Accounting Horizons
Accounting Review,The Accounting Review
Advances in Taxation,Advances in Taxation
Journal of Accounting Research,Journal of Accounting Research
Nonprofit and Voluntary Sector Quarterly,Nonprofit and Voluntary Sector Quarterly
Advances in Accounting Education: Teaching and Curriculum Innovations,Advances in Accounting Education
"Journal of Public Budgeting, Accounting and Financial Management","Journal of Public Budgeting, Accounting, and Financial Management"
International Journal of Operations and Production Management,International Journal of Operations and Production Management
Journal of Management Studies,Journal of Management Studies
Event Management,Event Management
Management International Review,Management International Review
International Journal of Entrepreneurial Behaviour and Research,International Journal of Entrepreneurial Behavior & Research
Asia Pacific Journal of Management,Asia Pacific Journal of Management
Journal of International Management,Journal of International Management
International Journal of Event and Festival Management,International Journal of Event and Festival Management
Journal of Manufacturing Technology Management,Journal of Manufacturing Technology Management
Journal of Applied Sport Psychology,Journal of Applied Sport Psychology
Entrepreneurship: Theory and Practice,Entrepreneurship Theory and Practice
ILR Review,ILR Review
Academy of Management Perspectives,Academy of Management Perspectives
Journal of Business Ethics,Journal of Business Ethics
Journal of Applied Behavioral Science,Journal of Applied Behavioral Science
Academy of Management Review,Academy of Management Review
Journal of Vocational Behavior,Journal of Vocational Behavior
Industry and Innovation,Industry and Innovation
California Management Review,California Management Review
Industrial and Corporate Change,Industrial and Corporate Change
Journal of International Business Studies,Journal of International Business Studies
Thunderbird International Business Review,Thunderbird International Business Review
Strategic Management Journal,Strategic Management Journal
Organization Studies,Organization Studies
Group and Organization Management,Group & Organization Management
Long Range Planning,Long Range Planning
Journal of Operations Management,Journal of Operations Management
Journal of Management Education,Journal of Management Education
Human Resource Management Review,Human Resource Management Review
Journal of Organizational Behavior,Journal of Organizational Behavior
Industrial and Organizational Psychology,Industrial and Organizational Psychology
Industrial and Organizational Psychology,Industrial and Organizational Psychology
Journal of Occupational Health Psychology,Journal of Occupational Health Psychology
Personnel Psychology,Personnel Psychology
International Marketing Review,International Marketing Review
Research Policy,Research Policy
Entrepreneurship and Regional Development,Entrepreneurship & Regional Development
International Small Business Journal,International Small Business Journal
Management Learning,Management Learning
International Journal of Management Reviews,International Journal of Management Reviews
Journal of Personal Selling and Sales Management,Journal of Personal Selling & Sales Management
Small Group Research,Small Group Research
Organizational Dynamics,Organizational Dynamics
Leadership Quarterly,Leadership Quarterly
International Journal of Research in Marketing,International Journal of Research in Marketing
Human Performance,Human Performance
Journal of Services Marketing,Journal of Services Marketing
Human Relations,Human Relations
Journal of Business Venturing,Journal of Business Venturing
Journal of Organizational Change Management,Journal of Organization Change Management
Organizational Behavior and Human Decision Processes,Organizational Behavior and Human Decision Processes
Journal of Service Research,Journal of Service Research
Journal of Marketing Education,Journal of Marketing Education
Business Ethics Quarterly,Business Ethics Quarterly
Journal of the Academy of Marketing Science,Journal of the Academy of Marketing Science
Journal of Business Research,Journal of Business Research
Journal of Marketing,Journal of Marketing
Industrial Marketing Management,Industrial Marketing Management
Journal of Consumer Behaviour,Journal of Consumer Behaviour
European Journal of Marketing,European Journal of Marketing
Journal of Retailing,Journal of Retailing
Journal of Marketing Research,Journal of Marketing Research
Sociology of Sport Journal,Sociology of Sport Journal
Journal of Sport Management,Journal of Sport Management
Journal of Sport Management,Journal of Sport Management
Sport Management Review,Sport Management Review
